,Name,Medals
0,Jos Manuel Abascal Gmez,1
1,Kriss Kezie Uche Chukwu Duru Akabusi,1
2,John Akii-Bua,1
3,Liudmyla Vasylivna Aksenova (Shapovalova-),1
4,Aleksandr Timofeyevich Aksinin,2
5,Lidiya Nikolayevna Alfeyeva,1
6,"Judith Florence ""Judy"" Amoore-Pollock",1
7,Grete Andersen-Waitz,1
8,Alessandro Andrei,1
9,Tatyana Mikhaylovna Anisimova (Poluboyarova-),1
10,Vera Vasilyevna Anisimova (Mikheyeva-),2
11,Mrta Antal-Rudas,1
12,Salvatore Antibo,1
13,Sad Aouita,2
14,Daphne Arden (-Slater),1
15,Vasyl Albertovych Arkhypenko,1
16,"Raymond Richard ""Ray"" Armstead",1
17,Yevhen Oleksandrovych Arzhanov,1
18,Charles Asati,2
19,Evelyn Ashford (-Washington),4
20,"Gerald Howard ""Gerry"" Ashworth",1
21,Ingrid Auerswald-Lange (Brestrich-),3
22,Rein Aun,1
23,Hennadiy Valentynovych Avdieienko,1
24,Mykola Viktorovych Avilov,2
25,Alonzo Carl Babers,2
26,Andrzej Stanisaw Badeski,1
27,Laimut Baikauskait,1
28,Margaret Ann Bailes (Johnson-),1
29,Angela Bailey,1
30,Iolanda Bala (-Ster),1
31,Clicien Alexandre Roger Bambuck,1
32,Kirk Renaud Baptiste,1
33,"Eric Randolph ""Randy"" Barnes",1
34,Pascal Barr,1
35,Patrick Barr,1
36,Aleksandr Georgiyevich Baryshnikov,2
37,Dieter Baumann,1
38,Frank Baumgartl,1
39,Hans-Peter Baumgartner,1
40,Daniel Bautista Rocha,1
41,Filbert Bayi Sanka,1
42,"Robert ""Bob"" Beamon",1
43,Volker Beck,2
44,Marion Becker (Steiner-),1
45,Klaus Beer,1
46,Anke Behmer (Vater-),1
47,Kerstin Behrendt,1
48,Earl Holmes Bell,1
49,"Alessandro ""Sandro"" Bellucci",1
50,Kurt Bendlin,1
51,Todd Anthony Bennett,1
52,Joan Benoit (-Samuelson),1
53,Kent Bede Bernard,1
54,Gilles Bertould,1
55,Nadezhda Viktorovna Besfamilnaya,1
56,Doina Ofelia Beliu-Melinte,2
57,Colette Besson (-Nogus),1
58,Udo Beyer,2
59,Uwe Beyer,1
60,Ivan Pavlovych Bieliaiev,1
61,"Mary Denise Bignal-Rand (-Toomey, -Reese)",3
62,Abebe Bikila,1
63,Amos Kipwabok Biwott,1
64,"Lawrence Jeffery ""Larry"" Black",2
65,Marilyn Mary Black (-Vassella),1
66,Yordanka Blagoeva Ivanova,2
67,Lillian Barbara Board,1
68,Nataliya Valeryevna Bochina,2
69,Inge Bdding (Eckhoff-),1
70,Carla Bodendorf (Rietig-),1
71,Christine Bodner-Laser,1
72,"Michael Kipsubut ""Mike"" Boit",1
73,Jeanette Bolden,1
74,Naftali Bon,1
75,Anatoliy Pavlovych Bondarchuk,2
76,Olga Petrovna Bondarenko (Krentser-),1
77,Gelindo Bordin,1
78,Valeriy Pylypovych Borzov,5
79,Ralph Harold Boston,2
80,Moulay Brahim Boutayeb,1
81,Renate Boy-Garisch-Culmberger,1
82,Raelene Ann Boyle,3
83,Lyudmila Ivanovna Bragina,1
84,Christina Brehmer-Lathan,4
85,Grit Breuer (-Springstein),1
86,Hartmut Briesenick,1
87,Robbie Ian Brightwell,1
88,Valerie Ann Brisco-Hooks,4
89,Alice Regina Brown (-Harris),3
90,"Benjamin Gene ""Benny"" Brown",1
91,"Judith Lynne ""Judi"" Brown (-King, -Clarke)",1
92,"Philip Andrew ""Phil"" Brown",1
93,"Ronald James ""Ron"" Brown",1
94,"Bjrn Richard ""Ricky"" Bruch",1
95,Valery Nikolayevich Brumel,1
96,Rosalyn Evette Bryant (-Clark),1
97,Arto Kalervo Bryggare,1
98,Viktor Arkadiyovych Bryzhin,1
99,Olha Arkadivna Bryzhina (Vladykina-),2
100,"Serhiy Nazarovych ""Sergey"" Bubka",1
101,Valeria Bufanu-tefnescu,1
102,Imrich Bugr,1
103,Galina Petrovna Bukharina,1
104,Elliot John Bunney,1
105,Viktor Volodymyrovych Burakov,1
106,Howard McNeal Burnett,1
107,Sabine Busch (-Ascui),1
108,"Gabriele ""Gaby"" Bumann",1
109,James Aaron Butts,1
110,Tamara Vladimirovna Bykova,1
111,Galina Petrovna Bystrova (Dolzhenkova-),1
112,Maureen Caird (-Jones),1
113,Clarence H. Callender,1
114,"Bertland ""Bert"" Cameron",1
115,"Anthony Eugene ""Tonie"" Campbell",1
116,Ernesto Canto Gudio,1
117,Jacques Carette,1
118,John Wesley Carlos,1
119,Henry William Carr,2
120,"Michael D'Andrea ""Mike"" Carter",1
121,"Edward Julius ""Ed"" Caruthers, Jr.",1
122,Alejandro Francisco Casaas Ramrez,2
123,Ollan Conley Cassell,1
124,"Warren Jay ""Rex"" Cawley",1
125,"Marise Ann Millicent Chamberlain (-Stephen, -Schou)",1
126,Michle Marie George Chardonnet (-Piasenta),1
127,"Chandra Danette Cheeseborough (-Shellman, -Guice)",3
128,Taisiya Filippovna Chenchik,1
129,Nikolay Nikolayevich Chernetsky,1
130,Lyudmila Alekseyevna Chernova (-Zenina),1
131,Chi (-Reel) Cheng,1
132,Silvia Chivs Bar,2
133,Nadezhda Vladimirovna Chizhova,3
134,Linford Ecerio Christie,2
135,Teresa Barbara Ciepy-Wieczorek,2
136,Hannes Waldemar Cierpinski,2
137,Galina isakovov (-Beskrovnaj),1
138,"Ronald William ""Ron"" Clarke",1
139,Miguelina Cobin Hechavarra,1
140,"Sebastian Newbold ""Seb"" Coe",4
141,Christeana Cojocaru (-Matei),1
142,Wayne Curtis Collett,1
143,Mara Caridad Coln Ruees-Salazar,1
144,"Michael Alexander ""Mike"" Conley",1
145,Keith Leroy Connor,1
146,Hollis Conway,1
147,Garry Peter Cook,1
148,John Hugh Cooper,2
149,Alberto Cova,1
150,"Stephen ""Steve"" Cram",1
151,Hasely Joachim Crawford,1
152,Charmaine A. Crooks (-Thorsen),1
153,"William Frederick ""Bill"" Crothers",1
154,Joaquim Carvalho Cruz,2
155,"Elizabeth Alyse ""Betty"" Cuthbert",1
156,Rbson Caetano da Silva,1
157,Maurizio Damilano,3
158,Ludvk Dank,3
159,Rolf Danneberg,2
160,"Wilbur D. ""Willie"" Davenport",2
161,John Llewellyn Davies,1
162,Lynn Davies,1
163,Howard Davis,1
164,Joo Carlos de Oliveira,2
165,Jocelyn Delecour,2
166,Luis Marano Dels Fournier,1
167,"William Solon ""Bill"" Dellinger",1
168,"Joseph Nathaniel ""Joe"" DeLoach, Jr.",1
169,Leslie Jean Deniz,1
170,El Hadji Amadou Dia B,1
171,Brian Lee Diemer,1
172,Diane Lynn Dixon (-Trouse),2
173,"Rodney Phillip ""Rod"" Dixon",1
174,Norbert Dobeleit,1
175,"Svetlana Ivanovna ""Esfir"" Dolzhenko-Krachevskaya",1
176,Lutz Dombrowski,1
177,Yordanka Lyubchova Donkova,1
178,Gabriella Dorio (-Spigarolo),1
179,Juana Katrin Drre-Heinig,1
180,Ralph Douglas Doubell,1
181,Otis Paul Drayton,2
182,Heike Gabriela Drechsler (Daute-),3
183,Jrg Drehmel,1
184,Margitta Droese-Pufe (Ludewig-),1
185,Guy Drut,2
186,Marian Andrzej Dudziak,1
187,"Leszek Ryszard ""Lech"" Dunecki",1
188,Maryvonne Dupureur (Samson-),1
189,Satymkul Dzhumanazarov,1
190,Liudmyla Stanislavivna Dzhyhalova,1
191,"Sheila Ann Echols (-Williams, -Gross)",1
192,Brbel Eckert-Wckel,4
